timestamps population node_ids
2640.75 v1 12038
2961.0 v1 12038
245.5 v1 12204
483.75 v1 12204
870.0 v1 12204
1345.75 v1 12204
1608.75 v1 12204
2037.0 v1 12204
2634.75 v1 12204
245.5 v1 12329
483.75 v1 12329
1191.0 v1 12329
1384.75 v1 12329
1735.0 v1 12329
2045.5 v1 12329
2635.75 v1 12329
245.5 v1 12402
483.75 v1 12402
1191.0 v1 12402
1384.75 v1 12402
1735.0 v1 12402
2045.5 v1 12402
2635.75 v1 12402
245.5 v1 12511
483.75 v1 12511
1191.0 v1 12511
1384.5 v1 12511
1735.0 v1 12511
2045.5 v1 12511
2635.75 v1 12511
245.5 v1 12686
483.75 v1 12686
1191.0 v1 12686
1384.75 v1 12686
1735.0 v1 12686
2045.5 v1 12686
2635.75 v1 12686
245.5 v1 12768
483.75 v1 12768
1191.0 v1 12768
1384.5 v1 12768
1735.0 v1 12768
2045.5 v1 12768
2635.75 v1 12768
245.5 v1 12836
483.75 v1 12836
1191.0 v1 12836
1383.5 v1 12836
1735.0 v1 12836
2045.5 v1 12836
2635.75 v1 12836
245.25 v1 13031
483.0 v1 13031
865.25 v1 13031
1345.25 v1 13031
1608.5 v1 13031
2036.5 v1 13031
2634.75 v1 13031
245.5 v1 13160
483.75 v1 13160
1191.0 v1 13160
1384.75 v1 13160
1735.0 v1 13160
2045.5 v1 13160
2635.75 v1 13160
245.25 v1 13270
483.5 v1 13270
865.5 v1 13270
1198.25 v1 13270
1388.75 v1 13270
1737.5 v1 13270
2047.25 v1 13270
2635.75 v1 13270
484.25 v1 13381
1382.5 v1 13381
2045.25 v1 13381
488.5 v1 13473
1374.75 v1 13473
495.75 v1 13628
1398.0 v1 13628
495.75 v1 13751
494.75 v1 13873
1391.5 v1 13873
251.5 v1 14004
490.5 v1 14004
1199.0 v1 14004
1392.25 v1 14004
1742.75 v1 14004
2054.25 v1 14004
2643.25 v1 14004
492.75 v1 14063
1392.25 v1 14063
494.25 v1 14172
1387.75 v1 14172
252.75 v1 14309
492.0 v1 14309
1201.75 v1 14309
1394.75 v1 14309
1745.75 v1 14309
2643.75 v1 14309
492.5 v1 14462
1391.25 v1 14462
491.5 v1 14596
1386.25 v1 14596
495.5 v1 14719
495.25 v1 14799
495.5 v1 14902
492.75 v1 14986
1386.0 v1 14986
495.75 v1 15090
493.5 v1 15164
1389.25 v1 15164
494.75 v1 15290
1391.25 v1 15290
493.25 v1 15395
1388.25 v1 15395
490.25 v1 15522
1379.75 v1 15522
494.5 v1 15654
1392.5 v1 15654
495.75 v1 15747
141.0 v1 15836
425.75 v1 15836
584.0 v1 15836
866.25 v1 15836
1195.5 v1 15836
1378.0 v1 15836
1610.5 v1 15836
1976.5 v1 15836
2247.75 v1 15836
2573.25 v1 15836
2949.5 v1 15836
134.25 v1 15944
418.0 v1 15944
575.5 v1 15944
859.0 v1 15944
1187.75 v1 15944
1368.5 v1 15944
1602.75 v1 15944
1968.5 v1 15944
2240.5 v1 15944
2565.5 v1 15944
2942.25 v1 15944
134.25 v1 16137
418.25 v1 16137
576.0 v1 16137
859.0 v1 16137
1187.75 v1 16137
1370.5 v1 16137
1603.0 v1 16137
1968.5 v1 16137
2240.5 v1 16137
2565.5 v1 16137
2942.25 v1 16137
134.25 v1 16276
418.25 v1 16276
576.0 v1 16276
859.0 v1 16276
1187.75 v1 16276
1371.0 v1 16276
1603.0 v1 16276
1968.5 v1 16276
2240.5 v1 16276
2565.5 v1 16276
2942.5 v1 16276
134.25 v1 16339
418.25 v1 16339
576.5 v1 16339
859.0 v1 16339
1187.75 v1 16339
1371.0 v1 16339
1603.0 v1 16339
1968.5 v1 16339
2240.5 v1 16339
2565.5 v1 16339
2942.5 v1 16339
134.25 v1 16442
418.25 v1 16442
576.5 v1 16442
859.0 v1 16442
1187.75 v1 16442
1371.0 v1 16442
1603.0 v1 16442
1968.5 v1 16442
2240.5 v1 16442
2565.5 v1 16442
2942.5 v1 16442
134.25 v1 16537
418.25 v1 16537
576.5 v1 16537
859.0 v1 16537
1187.75 v1 16537
1371.0 v1 16537
1603.0 v1 16537
1968.5 v1 16537
2240.5 v1 16537
2565.5 v1 16537
2942.5 v1 16537
134.25 v1 16693
418.25 v1 16693
576.5 v1 16693
859.0 v1 16693
1187.75 v1 16693
1371.0 v1 16693
1603.0 v1 16693
1968.5 v1 16693
2240.5 v1 16693
2565.5 v1 16693
2942.5 v1 16693
134.25 v1 16779
418.25 v1 16779
575.75 v1 16779
859.0 v1 16779
1187.75 v1 16779
1371.0 v1 16779
1603.0 v1 16779
1968.5 v1 16779
2240.5 v1 16779
2565.5 v1 16779
2942.5 v1 16779
134.25 v1 16907
418.0 v1 16907
575.25 v1 16907
859.0 v1 16907
1187.75 v1 16907
1370.25 v1 16907
1602.75 v1 16907
1968.5 v1 16907
2240.5 v1 16907
2565.5 v1 16907
2942.25 v1 16907
134.25 v1 17007
418.25 v1 17007
576.5 v1 17007
859.0 v1 17007
1187.75 v1 17007
1371.0 v1 17007
1603.0 v1 17007
1968.5 v1 17007
2240.5 v1 17007
2565.5 v1 17007
2942.5 v1 17007
134.25 v1 17121
418.25 v1 17121
576.5 v1 17121
859.0 v1 17121
1187.75 v1 17121
1371.0 v1 17121
1603.0 v1 17121
1968.5 v1 17121
2240.5 v1 17121
2565.5 v1 17121
2942.5 v1 17121
134.25 v1 17212
418.25 v1 17212
576.5 v1 17212
859.0 v1 17212
1187.75 v1 17212
1371.0 v1 17212
1603.0 v1 17212
1968.5 v1 17212
2240.5 v1 17212
2565.5 v1 17212
2942.5 v1 17212
134.25 v1 17367
418.25 v1 17367
574.0 v1 17367
859.0 v1 17367
1187.75 v1 17367
1370.5 v1 17367
1603.0 v1 17367
1968.5 v1 17367
2240.5 v1 17367
2565.5 v1 17367
2942.5 v1 17367
134.25 v1 17550
418.25 v1 17550
576.5 v1 17550
859.0 v1 17550
1187.75 v1 17550
1370.75 v1 17550
1603.0 v1 17550
1968.5 v1 17550
2240.5 v1 17550
2565.5 v1 17550
2942.5 v1 17550
134.25 v1 17634
418.25 v1 17634
574.75 v1 17634
859.0 v1 17634
1187.75 v1 17634
1370.75 v1 17634
1603.0 v1 17634
1968.5 v1 17634
2240.5 v1 17634
2565.5 v1 17634
2942.5 v1 17634
134.25 v1 17833
418.25 v1 17833
508.75 v1 17833
857.5 v1 17833
1187.0 v1 17833
1370.25 v1 17833
1602.75 v1 17833
1968.25 v1 17833
2240.5 v1 17833
2565.5 v1 17833
2942.25 v1 17833
134.25 v1 18277
418.25 v1 18277
576.0 v1 18277
859.0 v1 18277
1187.75 v1 18277
1370.75 v1 18277
1603.0 v1 18277
1968.5 v1 18277
2240.5 v1 18277
2565.5 v1 18277
2942.5 v1 18277
134.25 v1 18384
418.25 v1 18384
575.5 v1 18384
859.0 v1 18384
1187.75 v1 18384
1370.5 v1 18384
1603.0 v1 18384
1968.5 v1 18384
2240.5 v1 18384
2565.5 v1 18384
2942.25 v1 18384
134.25 v1 18472
418.25 v1 18472
576.5 v1 18472
859.0 v1 18472
1187.75 v1 18472
1371.0 v1 18472
1603.0 v1 18472
1968.5 v1 18472
2240.5 v1 18472
2565.5 v1 18472
2942.5 v1 18472
134.25 v1 18579
418.0 v1 18579
575.25 v1 18579
859.0 v1 18579
1187.75 v1 18579
1370.0 v1 18579
1602.75 v1 18579
1968.5 v1 18579
2240.5 v1 18579
2565.5 v1 18579
2942.25 v1 18579
134.25 v1 18670
418.25 v1 18670
574.5 v1 18670
859.0 v1 18670
1187.75 v1 18670
1371.0 v1 18670
1603.0 v1 18670
1968.5 v1 18670
2240.5 v1 18670
2565.5 v1 18670
2942.5 v1 18670
133.5 v1 18771
260.75 v1 18771
426.75 v1 18771
580.75 v1 18771
858.25 v1 18771
1147.5 v1 18771
1345.25 v1 18771
1597.75 v1 18771
1742.0 v1 18771
1973.75 v1 18771
2225.5 v1 18771
2539.75 v1 18771
2733.75 v1 18771
2948.0 v1 18771
134.25 v1 18924
418.25 v1 18924
576.0 v1 18924
859.0 v1 18924
1187.75 v1 18924
1370.5 v1 18924
1603.0 v1 18924
1968.5 v1 18924
2240.5 v1 18924
2565.5 v1 18924
2942.25 v1 18924
134.25 v1 19054
418.25 v1 19054
576.5 v1 19054
859.0 v1 19054
1187.75 v1 19054
1371.0 v1 19054
1603.0 v1 19054
1968.5 v1 19054
2240.5 v1 19054
2565.5 v1 19054
2942.5 v1 19054
134.25 v1 19242
418.25 v1 19242
576.5 v1 19242
859.0 v1 19242
1187.75 v1 19242
1370.75 v1 19242
1603.0 v1 19242
1968.5 v1 19242
2240.5 v1 19242
2565.5 v1 19242
2942.5 v1 19242
134.25 v1 19364
418.25 v1 19364
576.5 v1 19364
859.0 v1 19364
1187.75 v1 19364
1371.0 v1 19364
1603.0 v1 19364
1968.5 v1 19364
2240.5 v1 19364
2565.5 v1 19364
2942.5 v1 19364
134.25 v1 19513
418.25 v1 19513
576.5 v1 19513
859.0 v1 19513
1187.75 v1 19513
1371.0 v1 19513
1603.0 v1 19513
1968.5 v1 19513
2240.5 v1 19513
2565.5 v1 19513
2942.5 v1 19513
134.25 v1 19685
418.25 v1 19685
576.25 v1 19685
859.0 v1 19685
1187.75 v1 19685
